Store_Name,Store_ID,State
Discount Wine & Spirits,12141,AR
Cork Runner Wine & Spirits,10479,CA
SendSips,11348,CA
Robert Burns,11367,CA
Warehouse Wine & Liquor,10987,CT
Bevmax,11884,"AZ,CA,CO,CT,DC,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MN,MO,MT,NE,NV,NH,NJ,NM,NY,NC,OH,OK,OR,PA,RI,TX,VT,WA,WV,WI,WY"
Tuscany,10420,CO
Highlands,12075,"AK,CA,DC,LA,NE,NV,NM,ND,OR,VA,WY"
King Solomon,11642,CO
Liquid Tactics,12074,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MO,MS,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TX,VA,VT,WV,WI,WY"
Enjoy Liquors,12001,FL
Local Vine,10394,GA
Mega Package Store,10992,GA
Barrel Town,11903,GA
Captain Jacks,11377,IL
County Market Liquor (Niemann's),11825,IL
Family Wine and Liquor,11887,IL
I&S,11757,IL
Brady's Wine Warehouse,10366,LA
Chimmy's Liquor,11655,LA
Georgio's Liquors,10780,MA
Vinnin Liquors,12040,MA
Muckey's Liquor,12061,MA
Tyrone,11971,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IN,LA,MI,MN,MO,MT,ND,NE,NH,OH,OK,VT,WI,WV,WY"
Discount Wine & Liquor,11725,MS
Beverage Barn,12105,NJ
East main street Wines & Liquors,10169,NY
Broadway Plaza Liquor,11224,NY
Queensbury Wine & Spirits,11480,NY
Riverhead,11892,"AZ,CA,CO,CT,DC,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MN,MO,MT,NE,NV,NH,NJ,NM,NY,NC,OH,OK,OR,PA,RI,TX,VT,WA,WV,WI,WY"
Union Square,12079,NY
Addy's Fine Wine & Spirts,10168,NY
Park Avenue Liquor,12138,NY
Beverages2U,11311,"PA,VI"
Bottle Shoppe,11145,TN
Far West Liquor,10235,TX
Orale,11756,TX
Smoke & Spirits,11954,TX
Zeke's,11344,TX
